diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin32      ! +0.00, 0.48!        -0.00, 0.72       -0.02
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin33         +0.00, 0.52        +0.00, 0.78       +0.02
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin34         +0.00, 0.56        +0.00, 0.83       +0.02
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin35         +0.00, 0.56        +0.00, 0.83       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin36_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin36_TT         +0.00, 0.66        +0.00, 0.98       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin36_Wjets         +0.00, 0.52        +0.00, 0.77       +0.02
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin37_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin37_TT         +0.00, 0.66        +0.00, 0.98       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin37_Wjets         +0.00, 0.51        +0.00, 0.77       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin37_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin38         +0.00, 0.57        -0.00, 0.84       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin39      ! +0.00, 0.46!        +0.00, 0.71       +0.07
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin3_TT         +0.00, 0.66        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin3_Wjets      ! +0.00, 0.21!     ! +0.00, 0.32!       +0.03
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin3_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin4_SingleTop         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin4_TT         +0.00, 0.66        +0.00, 0.98       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin4_Wjets         +0.00, 0.61        +0.00, 0.91       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin5         +0.00, 0.66        +0.00, 0.97       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin6_DY         +0.00, 0.66        +0.00, 0.96       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin6_TT         +0.00, 0.66        +0.00, 0.97       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin6_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin7_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin7_TT         +0.00, 0.65        +0.00, 0.98       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin7_Wjets      ! +0.00, 0.36!        +0.00, 0.54       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin7_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin8_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin8_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin8_Wjets      ! +0.00, 0.42!        +0.00, 0.62       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin9_TT         +0.00, 0.67        -0.00, 0.99       -0.00
